name,brand,price,description
['vivo Y36 8GB/256GB'],['Brand:                vivo'],"['25,499৳']","['Operating System: Funtouch OS 13 (based on Android 13)', 'Processor: Snapdragon 680', 'RAM: 8GB', 'ROM: 256GB', 'Network: 2G/3G/4G', 'Card Slot: 2 nano SIMs + 1 micro SD', 'Screen: 6.64 inch, Capacitive multi-touch', 'Resolution: 2388 × 1080 (FHD+)', 'Display Type: LCD', 'Camera Rear: 50MP + 2MP Bokeh', 'Camera Front: 16MP', 'Aperture: Front f/2.45 (16 MP) / Rear f/1.8 (50 MP) + f/2.4 (2 MP)', 'Flash: Rear flash', 'Scene Modes: Photo, Night, Portrait, Video, High Resolution, Pano, Live Photo, Slow-Mo, Time-Lapse, Pro, Documents, Double Exposure', 'Battery: 5000mAh (TYP) | 44W Charging Power', 'Connectivity: Wi-Fi Support 2.4 GHz/5 GHz| Bluetooth 5.1 | USB Type-C | GPS | OTG | FM', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint | Gyroscope sensor', 'Box Content: Y36 | USB Cable | USB Power Adapter | Sim Eject Tool | Protective Film | Phone Case']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['25,499৳']",[nan]
['vivo Y36 8GB/256GB'],['Brand:                vivo'],"['25,499৳']","['Operating System: Funtouch OS 13 (based on Android 13)', 'Processor: Snapdragon 680', 'RAM: 8GB', 'ROM: 256GB', 'Network: 2G/3G/4G', 'Card Slot: 2 nano SIMs + 1 micro SD', 'Screen: 6.64 inch, Capacitive multi-touch', 'Resolution: 2388 × 1080 (FHD+)', 'Display Type: LCD', 'Camera Rear: 50MP + 2MP Bokeh', 'Camera Front: 16MP', 'Aperture: Front f/2.45 (16 MP) / Rear f/1.8 (50 MP) + f/2.4 (2 MP)', 'Flash: Rear flash', 'Scene Modes: Photo, Night, Portrait, Video, High Resolution, Pano, Live Photo, Slow-Mo, Time-Lapse, Pro, Documents, Double Exposure', 'Battery: 5000mAh (TYP) | 44W Charging Power', 'Connectivity: Wi-Fi Support 2.4 GHz/5 GHz| Bluetooth 5.1 | USB Type-C | GPS | OTG | FM', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint | Gyroscope sensor', 'Box Content: Y36 | USB Cable | USB Power Adapter | Sim Eject Tool | Protective Film | Phone Case']"
['vivo Y36 8GB/256GB'],['Brand:                vivo'],"['25,499৳']","['Operating System: Funtouch OS 13 (based on Android 13)', 'Processor: Snapdragon 680', 'RAM: 8GB', 'ROM: 256GB', 'Network: 2G/3G/4G', 'Card Slot: 2 nano SIMs + 1 micro SD', 'Screen: 6.64 inch, Capacitive multi-touch', 'Resolution: 2388 × 1080 (FHD+)', 'Display Type: LCD', 'Camera Rear: 50MP + 2MP Bokeh', 'Camera Front: 16MP', 'Aperture: Front f/2.45 (16 MP) / Rear f/1.8 (50 MP) + f/2.4 (2 MP)', 'Flash: Rear flash', 'Scene Modes: Photo, Night, Portrait, Video, High Resolution, Pano, Live Photo, Slow-Mo, Time-Lapse, Pro, Documents, Double Exposure', 'Battery: 5000mAh (TYP) | 44W Charging Power', 'Connectivity: Wi-Fi Support 2.4 GHz/5 GHz| Bluetooth 5.1 | USB Type-C | GPS | OTG | FM', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint | Gyroscope sensor', 'Box Content: Y36 | USB Cable | USB Power Adapter | Sim Eject Tool | Protective Film | Phone Case']"
['vivo V27e 8GB/256GB'],['Brand:                vivo'],"['32,499৳']","['Operating System: Funtouch OS 13 (Global)', 'Processor: MediaTek Helio G99', 'RAM: 8GB', 'ROM: 256GB', 'SIM: 2G/3G/4G', 'SIM: 1 nano SIM + 1 nano SIM / 1 micro SD | (Dual SIM Standby)', 'Screen: 6.62 inch | Display Type: AMOLED | Refresh Rate: 120Hz (Only specific apps support 120Hz)', 'Resolution: 2400×1080 (FHD+) | Capacitive multi-touch', 'Rear Camera: 64MP OIS + 2MP Bokeh + 2MP Macro', 'Camera Front: 32MP AF', 'Aperture: Front f/2.0 (32MP), Rear f/1.79 (64MP) + f/2.4 (2MP) + f/2.4 (2MP)', 'Flash: Triple rear flash with single color temperature', 'Scene Modes: Night, Portrait, Photo, Video, 64MP, Panorama, Live Photo, Slow Motion, Time-Lapse, Pro, Documents, Double Exposure, Dual-View', 'Battery: 4500mAh | 66W (11V/6A) Fast Charging', 'Connectivity: Wi-Fi Support 2.4G/5G| Bluetooth 5.3 | USB Type-C, USB 2.0 | GPS | OTG | NFC', 'Sensors: Accelerometer | Ambient light sensor | Proximity Sensor | E-compass | Fingerprint: In-Display Fingerprint Scanning | Gyroscope sensor', 'Box Content: Device | Type-C to USB Cable | USB Power Adapter | Eject Tool | Phone Case | Protective Film (applied)']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['25,499৳']",[nan]
['itel A05s 2GB/32GB'],['Brand:                itel'],"['7,090৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 2GB | RAM Expansion: up to 2GB', 'ROM: 32GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['Online Shopping in Bangladesh for Mobile & Gadgets | Ayshamart'],[nan],"['7,090৳']",[nan]
['itel A05s 2GB/32GB'],['Brand:                itel'],"['7,090৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 2GB | RAM Expansion: up to 2GB', 'ROM: 32GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
['itel A05s 2GB/32GB'],['Brand:                itel'],"['7,090৳']","['OS: itel OS 8.6', 'Processor: Octa-Core Processor', 'RAM: 2GB | RAM Expansion: up to 2GB', 'ROM: 32GB', 'Network: 2G/3G/4G', 'Sim Slot: Dual Sim', 'Display Size: 6.6″ HD+ Waterdrop Full Screen', 'Rear Camera: 8MP', 'Front Camera: 5MP', 'Battery Capacity: 4000mAh', 'Connectivity: Wi-Fi 802.11 a/b/g/n/ac| Bluetooth | OTG', 'Ports: Type-c | 3.5mm Jack', 'Security: Face & Side-Fingerprint Dual Unlock']"
